received_at,sequence,millis,gain,integration_time,pwm_percent,pwm_raw,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-14T20:09:50.329332+00:00,89,63880,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:51.049665+00:00,90,64598,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:51.762169+00:00,91,65314,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:52.482029+00:00,92,66031,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:53.193261+00:00,93,66748,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:53.913565+00:00,94,67465,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:54.633357+00:00,95,68182,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:55.345862+00:00,96,68898,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:56.065510+00:00,97,69616,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:56.777513+00:00,98,70333,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:57.497316+00:00,99,71050,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:58.217584+00:00,100,71767,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:09:58.929355+00:00,101,72484,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:09:59.649109+00:00,102,73201,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:10:00.361755+00:00,103,73918,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:10:01.081171+00:00,104,74635,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:10:01.801078+00:00,105,75352,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:02.513722+00:00,106,76068,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:10:03.233708+00:00,107,76786,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:10:03.953233+00:00,108,77504,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:10:04.666092+00:00,109,78221,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:10:05.385611+00:00,110,78939,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,0
2026-09-14T20:10:06.098017+00:00,111,79655,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:06.817091+00:00,112,80372,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:07.529570+00:00,113,81089,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:08.249196+00:00,114,81807,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:08.961580+00:00,115,82524,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:09.681301+00:00,116,83240,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:10.401145+00:00,117,83957,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:11.121868+00:00,118,84675,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:11.833740+00:00,119,85392,128x,300ms,25,64,1,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:12.544987+00:00,120,86110,128x,300ms,25,64,1,0,0,0,0,0,0,0,0,0,2
2026-09-14T20:10:13.265483+00:00,121,86827,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,1
2026-09-14T20:10:13.985472+00:00,122,87543,128x,300ms,25,64,0,0,0,0,0,1,0,0,0,0,2
2026-09-14T20:10:14.696961+00:00,123,88260,128x,300ms,25,64,0,0,0,0,0,0,0,0,0,0,2
