received_at,sequence,millis,gain,integration_time,page,415,445,480,515,555,590,630,680,nir,clear
2026-09-09T00:07:08.638918+00:00,169,44037,128x,100ms,0,20,92,10,2,21,94,10,1,0,56
2026-09-09T00:07:08.894896+00:00,170,44298,128x,100ms,0,20,92,10,1,21,94,10,1,0,56
2026-09-09T00:07:09.158859+00:00,171,44559,128x,100ms,0,21,92,10,1,21,92,10,1,0,56
2026-09-09T00:07:09.415703+00:00,172,44819,128x,100ms,0,21,93,10,1,21,92,10,1,0,55
2026-09-09T00:07:09.680770+00:00,173,45080,128x,100ms,1,21,93,10,2,20,92,10,1,0,56
2026-09-09T00:07:09.936924+00:00,174,45341,128x,100ms,1,20,92,10,2,21,93,10,1,0,56
2026-09-09T00:07:10.202959+00:00,175,45602,128x,100ms,1,21,92,10,2,21,93,10,2,0,56
2026-09-09T00:07:10.460699+00:00,176,45863,128x,100ms,1,20,92,10,2,21,93,10,1,0,57
2026-09-09T00:07:10.718811+00:00,177,46124,128x,100ms,1,20,92,10,1,21,94,10,2,0,57
2026-09-09T00:07:10.981682+00:00,178,46385,128x,100ms,1,20,92,10,1,21,94,10,1,0,57
2026-09-09T00:07:11.246333+00:00,179,46646,128x,100ms,1,20,92,10,1,21,93,10,1,0,56
2026-09-09T00:07:11.502532+00:00,180,46907,128x,100ms,1,21,92,10,1,21,93,10,1,0,56
2026-09-09T00:07:11.768719+00:00,181,47168,128x,100ms,1,20,92,10,2,21,93,10,2,0,56
2026-09-09T00:07:12.024503+00:00,182,47429,128x,100ms,1,20,92,10,1,21,93,10,1,0,56
2026-09-09T00:07:12.288008+00:00,183,47689,128x,100ms,1,21,92,10,2,21,92,10,2,0,55
2026-09-09T00:07:12.544387+00:00,184,47950,128x,100ms,1,21,94,10,1,21,92,10,2,0,56
2026-09-09T00:07:12.809174+00:00,185,48211,128x,100ms,0,21,94,10,1,20,92,10,1,0,56
2026-09-09T00:07:13.065101+00:00,186,48472,128x,100ms,0,21,93,10,1,21,93,10,2,0,56
2026-09-09T00:07:13.328618+00:00,187,48733,128x,100ms,0,20,92,10,1,21,94,10,1,0,56
2026-09-09T00:07:13.594018+00:00,188,48993,128x,100ms,0,21,93,10,2,20,92,10,1,0,55
2026-09-09T00:07:13.851016+00:00,189,49254,128x,100ms,0,21,94,10,1,20,92,10,1,0,55
2026-09-09T00:07:14.116112+00:00,190,49514,128x,100ms,0,20,92,10,2,21,94,10,2,0,56
2026-09-09T00:07:14.371273+00:00,191,49775,128x,100ms,0,20,92,10,1,21,93,10,1,0,56
2026-09-09T00:07:14.635001+00:00,192,50036,128x,100ms,0,20,92,10,1,20,92,10,1,0,55
2026-09-09T00:07:14.891455+00:00,193,50296,128x,100ms,0,21,92,10,2,20,92,10,1,0,55
2026-09-09T00:07:15.155241+00:00,194,50557,128x,100ms,0,21,93,10,1,20,92,10,1,0,55
2026-09-09T00:07:15.411857+00:00,195,50819,128x,100ms,0,20,92,10,2,20,92,10,1,0,56
2026-09-09T00:07:15.676278+00:00,196,51079,128x,100ms,1,20,91,10,1,21,92,10,1,0,56
2026-09-09T00:07:15.933121+00:00,197,51340,128x,100ms,1,20,91,10,1,20,93,10,1,0,56
2026-09-09T00:07:16.196404+00:00,198,51600,128x,100ms,1,20,92,10,1,20,91,10,1,0,55
2026-09-09T00:07:16.452573+00:00,199,51861,128x,100ms,1,21,93,10,1,20,91,10,1,0,55
2026-09-09T00:07:16.716495+00:00,200,52121,128x,100ms,1,20,91,10,1,21,93,10,1,0,56
2026-09-09T00:07:16.981029+00:00,201,52382,128x,100ms,1,20,91,10,1,20,93,10,1,0,56
2026-09-09T00:07:17.237206+00:00,202,52643,128x,100ms,1,20,91,10,1,21,93,10,1,0,56
2026-09-09T00:07:17.500896+00:00,203,52904,128x,100ms,1,20,91,10,1,21,92,10,1,0,56
2026-09-09T00:07:17.765923+00:00,204,53166,128x,100ms,1,20,91,10,2,20,92,10,2,0,55
2026-09-09T00:07:18.028770+00:00,205,53427,128x,100ms,1,20,91,10,1,20,92,10,1,0,55
2026-09-09T00:07:18.281600+00:00,206,53687,128x,100ms,1,21,93,10,2,20,91,10,2,0,55
2026-09-09T00:07:18.541804+00:00,207,53948,128x,100ms,1,20,92,10,1,20,91,10,1,0,55
2026-09-09T00:07:18.803804+00:00,208,54208,128x,100ms,0,20,91,10,1,20,93,10,1,0,56
2026-09-09T00:07:19.060927+00:00,209,54469,128x,100ms,0,20,91,10,2,20,92,10,1,0,56
2026-09-09T00:07:19.325465+00:00,210,54729,128x,100ms,0,20,92,10,1,20,91,10,2,0,55
2026-09-09T00:07:19.587999+00:00,211,54990,128x,100ms,0,20,93,10,2,20,91,10,2,0,55
2026-09-09T00:07:19.844493+00:00,212,55252,128x,100ms,0,21,93,10,1,20,91,10,1,0,55
2026-09-09T00:07:20.112446+00:00,213,55513,128x,100ms,0,21,93,10,1,20,91,10,1,0,55
2026-09-09T00:07:20.365158+00:00,214,55774,128x,100ms,0,20,91,10,1,21,93,10,2,0,56
2026-09-09T00:07:20.629409+00:00,215,56034,128x,100ms,0,20,91,10,2,21,93,10,1,0,56
2026-09-09T00:07:20.894771+00:00,216,56295,128x,100ms,0,20,91,10,1,20,92,10,1,0,55
2026-09-09T00:07:21.150581+00:00,217,56555,128x,100ms,0,20,92,10,2,20,91,10,2,0,55
2026-09-09T00:07:21.415108+00:00,218,56816,128x,100ms,0,21,93,10,1,20,91,10,1,0,55
2026-09-09T00:07:21.670492+00:00,219,57077,128x,100ms,1,20,91,10,1,20,93,10,1,0,56
2026-09-09T00:07:21.928382+00:00,220,57337,128x,100ms,1,20,92,10,1,20,93,10,2,0,56
2026-09-09T00:07:22.192222+00:00,221,57598,128x,100ms,1,20,91,10,1,21,93,10,1,0,56
2026-09-09T00:07:22.448701+00:00,222,57860,128x,100ms,1,20,91,10,1,21,93,10,1,0,56
2026-09-09T00:07:22.712363+00:00,223,58120,128x,100ms,1,20,92,10,1,20,92,10,1,0,55
2026-09-09T00:07:22.975064+00:00,224,58381,128x,100ms,1,21,93,10,2,20,92,10,1,0,55
2026-09-09T00:07:23.237464+00:00,225,58641,128x,100ms,1,20,92,10,2,21,93,10,1,0,56
2026-09-09T00:07:23.493732+00:00,226,58902,128x,100ms,1,20,92,10,1,21,94,10,2,0,56
2026-09-09T00:07:23.757600+00:00,227,59163,128x,100ms,1,20,92,10,1,21,93,10,1,0,56
2026-09-09T00:07:24.013418+00:00,228,59424,128x,100ms,1,20,92,10,1,21,93,10,2,0,56
2026-09-09T00:07:24.277021+00:00,229,59685,128x,100ms,1,20,92,10,2,21,93,10,1,0,56
2026-09-09T00:07:24.538816+00:00,230,59947,128x,100ms,1,20,92,10,1,20,92,10,2,0,56
2026-09-09T00:07:24.796462+00:00,231,60208,128x,100ms,0,20,92,10,1,21,93,10,1,0,56
2026-09-09T00:07:25.060206+00:00,232,60469,128x,100ms,0,20,92,10,1,20,92,10,1,0,55
2026-09-09T00:07:25.324455+00:00,233,60730,128x,100ms,0,21,92,10,1,21,92,10,2,0,55
2026-09-09T00:07:25.579792+00:00,234,60990,128x,100ms,0,21,93,10,2,20,92,10,2,0,55
2026-09-09T00:07:25.843708+00:00,235,61251,128x,100ms,0,21,93,10,2,20,92,10,1,0,56
2026-09-09T00:07:26.108215+00:00,236,61512,128x,100ms,0,20,92,10,2,21,93,10,2,0,56
2026-09-09T00:07:26.363549+00:00,237,61773,128x,100ms,0,20,92,10,1,21,94,10,1,0,56
2026-09-09T00:07:26.628355+00:00,238,62033,128x,100ms,0,20,92,10,2,21,94,10,1,0,56
2026-09-09T00:07:26.892434+00:00,239,62295,128x,100ms,0,20,92,10,2,21,94,10,2,0,57
2026-09-09T00:07:27.150230+00:00,240,62556,128x,100ms,0,20,92,10,1,21,94,10,1,0,57
2026-09-09T00:07:27.408826+00:00,241,62817,128x,100ms,0,21,93,10,2,21,92,10,1,0,55
2026-09-09T00:07:27.671054+00:00,242,63077,128x,100ms,1,21,94,10,1,20,92,10,1,0,55
2026-09-09T00:07:27.928901+00:00,243,63337,128x,100ms,1,21,92,10,2,21,93,10,1,0,56
2026-09-09T00:07:28.192739+00:00,244,63598,128x,100ms,1,20,92,10,1,21,94,10,1,0,57
2026-09-09T00:07:28.456378+00:00,245,63859,128x,100ms,1,20,92,10,1,21,94,10,1,0,57
2026-09-09T00:07:28.713553+00:00,246,64120,128x,100ms,1,20,92,10,1,20,92,10,1,0,56
2026-09-09T00:07:28.970415+00:00,247,64380,128x,100ms,1,21,94,10,1,20,92,10,2,0,56
2026-09-09T00:07:29.234617+00:00,248,64643,128x,100ms,1,21,94,10,2,21,92,10,2,0,56
2026-09-09T00:07:29.492296+00:00,249,64904,128x,100ms,1,21,94,10,2,20,92,10,2,0,56
2026-09-09T00:07:29.756675+00:00,250,65165,128x,100ms,1,21,93,10,2,21,92,10,2,0,56
2026-09-09T00:07:30.014550+00:00,251,65426,128x,100ms,1,21,93,10,2,21,92,10,2,0,56
2026-09-09T00:07:30.279679+00:00,252,65687,128x,100ms,1,21,94,10,1,21,92,10,1,0,55
2026-09-09T00:07:30.537033+00:00,253,65948,128x,100ms,1,21,94,10,1,21,92,10,1,0,56
2026-09-09T00:07:30.801445+00:00,254,66208,128x,100ms,0,21,94,10,1,21,92,10,1,0,56
2026-09-09T00:07:31.057715+00:00,255,66469,128x,100ms,0,21,93,10,1,21,92,10,2,0,56
